H R 5046,Title,YEA,NAY,H.R.4641,Title,YEA,NAY,H RES 720,Title,YEA,NAY,H RES 720,Title,YEA,NAY,H R 5052,Title,YEA,NAY,H R 6,Title,YEA,NAY,H R 6,Title,YEA,NAY,H RES 949,Title,YEA,NAY,H RES 949,Title,YEA,NAY,H R 5687,Title,YEA,NAY,H R 5788,Title,YEA,NAY,H RES 934,Title,YEA,NAY,H RES 934,Title,YEA,NAY,H R 5327,Title,YEA,NAY,H R 3832,Title,YEA,NAY,,Name,state,FIPS,year,District,Party,Total_YEA,Total_NAY
,,Johnson (OH),,,,Jones,,,,Renacci,,,,Stewart,,,,"Johnson, Sam",,,,Kelly (IL),,,,,Sessions,,,Sessions,,,,Simpson,,,,"Lieu, Ted",,,,Larson (CT),,,,Rutherford,,,,Sanford,,,,Knight,,,,Kilmer,,,"Representative Huffman, Jared",California,6,House: 2013-Present,2,Democratic,8,7
,,"Johnson, E. B.",,,,Jordan,,,,Ribble,,,,Stivers,,,,Jolly,,,,Kelly (MS),,,,,Shimkus,,,Shimkus,,,,Smith (MO),,,,LoBiondo,,,,Latta,,,,Sanford,,,,Scalise,,,,Krishnamoorthi,,,,Kind,,,"Representative Huizenga, Bill",Michigan,26,House: 2011-Present,2,Republican,14,1
,,"Johnson, Sam",,,,Joyce,,,,Rice (SC),,,,Stutzman,,,,Jones,,,,Kelly (PA),,,,,Shuster,,,Shuster,,,,Smith (NE),,,,Lofgren,,,,Lawson (FL),,,,Scalise,,,,Schweikert,,,,Kuster (NH),,,,King (IA),,,"Representative Hunter, Duncan D.",California,6,House: 2009-Present,50,Republican,13,1
,,Jolly,,,,Kaptur,,,,Rigell,,,,Thompson (PA),,,,Jordan,,,,Kennedy,,,,,Simpson,,,Simpson,,,,Smith (NJ),,,,Long,,,,Lesko,,,,Schneider,,,,"Scott, Austin",,,,Kustoff (TN),,,,King (NY),,,"Representative Hurd, Will",Texas,48,House: 2015-Present,23,Republican,8,4
,,Jones,,,,Katko,,,,Roby,,,,Thornberry,,,,Joyce,,,,Khanna,,,,,Smith (MO),,,Smith (MO),,,,Smith (TX),,,,Love,,,,Levin,,,,Schweikert,,,,Sensenbrenner,,,,Labrador,,,,Knight,,,"Representative Jackson Lee, Sheila",Texas,48,House: 1995-Present,18,Democratic,0,0
,,Jordan,,,,Keating,,,,Roe (TN),,,,Tipton,,,,Kaptur,,,,Kihuen,,,,,Smith (NE),,,Smith (NE),,,,Smucker,,,,Lowenthal,,,,Lewis (MN),,,,"Scott, Austin",,,,Sessions,,,,LaHood,,,,Krishnamoorthi,,,"Representative Jayapal, Pramila",Washington,53,House: 2017-Present,7,Democratic,0,0
,,Joyce,,,,Kelly (IL),,,,Rogers (AL),,,,Trott,,,,Katko,,,,Kildee,,,,,Smith (NJ),,,Smith (NJ),,,,Stefanik,,,,Lowey,,,,"Lieu, Ted",,,,Sensenbrenner,,,,Shimkus,,,,LaMalfa,,,,Kuster (NH),,,"Representative Jeffries, Hakeem S.",New York,36,House: 2013-Present,8,Democratic,6,4
,,Kaptur,,,,Kelly (MS),,,,Rogers (KY),,,,Turner,,,,Keating,,,,Kilmer,,,,,Smith (TX),,,Smith (TX),,,,Stewart,,,,Lucas,,,,Lipinski,,,,Sessions,,,,Simpson,,,,Lamb,,,,Kustoff (TN),,,"Representative Johnson, Bill",Ohio,39,House: 2011-Present,6,Republican,9,6
,,Katko,,,,Kelly (PA),,,,Rohrabacher,,,,Upton,,,,Kelly (IL),,,,Kind,,,,,Smucker,,,Smucker,,,,Stivers,,,,Luetkemeyer,,,,LoBiondo,,,,Shimkus,,,,Smith (MO),,,,Lamborn,,,,Labrador,,,"Representative Johnson, Dusty",South Dakota,46,House: 2019-Present,,Republican,14,1
,,Keating,,,,Kennedy,,,,Rokita,,,,Valadao,,,,Kelly (MS),,,,King (IA),,,,,Stefanik,,,Stefanik,,,,Taylor,,,,"Lujan Grisham, M.",,,,Loebsack,,,,Simpson,,,,Smith (NE),,,,Lance,,,,LaHood,,,"Representative Johnson, Eddie Bernice",Texas,48,House: 1993-Present,30,Democratic,7,1
,,Kelly (IL),,,,Kildee,,,,Rooney (FL),,,,Wagner,,,,Kelly (PA),,,,King (NY),,,,,Stewart,,,Stewart,,,,Tenney,,,,"Luján, Ben Ray",,,,Lofgren,,,,Sinema,,,,Smith (NJ),,,,Langevin,,,,LaMalfa,,,"Representative Johnson, Henry C. ""Hank,"" Jr.",Georgia,13,House: 2007-Present,4,Democratic,8,5
,,Kelly (MS),,,,Kilmer,,,,Ros-Lehtinen,,,,Walden,,,,Kennedy,,,,Kinzinger,,,,,Stivers,,,Stivers,,,,Thompson (PA),,,,MacArthur,,,,Long,,,,Smith (MO),,,,Smith (TX),,,,Larsen (WA),,,,Lamb,,,"Representative Johnson, Mike",Louisiana,22,House: 2017-Present,4,Republican,0,0
,,Kelly (PA),,,,Kind,,,,Roskam,,,,Walker,,,,Kildee,,,,Knight,,,,,Taylor,,,Suozzi,,,,Tipton,,,,"Maloney, Carolyn B.",,,,Loudermilk,,,,Smith (NE),,,,Smucker,,,,Larson (CT),,,,Lamborn,,,"Representative Jones, Walter B., Jr.",North Carolina,37,House: 1995-Present,3,Republican,0,0
,,Kennedy,,,,King (IA),,,,Ross,,,,Walorski,,,,Kilmer,,,,Krishnamoorthi,,,,,Tenney,,,Taylor,,,,Trott,,,,"Maloney, Sean",,,,Love,,,,Smith (NJ),,,,Stefanik,,,,Latta,,,,Lance,,,"Representative Jordan, Jim",Ohio,39,House: 2007-Present,4,Republican,7,7
,,Kildee,,,,King (NY),,,,Rothfus,,,,"Walters, Mimi",,,,Kind,,,,Kuster (NH),,,,,Thompson (PA),,,Tenney,,,,Upton,,,,Marchant,,,,Lucas,,,,Smith (TX),,,,Stewart,,,,Lawrence,,,,Langevin,,,"Representative Joyce, David P.",Ohio,39,House: 2013-Present,14,Republican,7,8
,,Kilmer,,,,Kinzinger (IL),,,,Rouzer,,,,Weber (TX),,,,King (IA),,,,Kustoff (TN),,,,,Thornberry,,,Thompson (PA),,,,Valadao,,,,Marino,,,,Luetkemeyer,,,,Smucker,,,,Stivers,,,,Lawson (FL),,,,Larson (CT),,,"Representative Joyce, John",Pennsylvania,42,House: 2019-Present,13,Republican,14,1
,,Kind,,,,Kirkpatrick,,,,Royce,,,,Wenstrup,,,,King (NY),,,,LaHood,,,,,Tipton,,,Tipton,,,,Wagner,,,,Marshall,,,,"Lujan Grisham, M.",,,,Stefanik,,,,Taylor,,,,Lee,,,,Latta,,,"Representative Kaptur, Marcy",Ohio,39,House: 1983-Present,9,Democratic,2,8
,,King (IA),,,,Kline,,,,Ruppersberger,,,,Westerman,,,,Kinzinger (IL),,,,LaMalfa,,,,,Trott,,,Trott,,,,Walberg,,,,Mast,,,,"Luján, Ben Ray",,,,Stewart,,,,Tenney,,,,Lesko,,,,Lawrence,,,"Representative Katko, John",New York,36,House: 2015-Present,24,Republican,14,1
,,King (NY),,,,Knight,,,,Russell,,,,Williams,,,,Kirkpatrick,,,,Lamb,,,,,Turner,,,Upton,,,,Walden,,,,Matsui,,,,Lynch,,,,Stivers,,,,Thompson (PA),,,,Levin,,,,Lawson (FL),,,"Representative Keating, William R.",Massachusetts,25,House: 2011-Present,9,Democratic,9,6
,,Kinzinger (IL),,,,Kuster,,,,Salmon,,,,Wilson (SC),,,,Kline,,,,Lamborn,,,,,Upton,,,Valadao,,,,Walker,,,,McCaul,,,,MacArthur,,,,Taylor,,,,Thornberry,,,,Lewis (GA),,,,Lesko,,,"Representative Keller, Fred",Pennsylvania,42,House: 2019-Present,12,Republican,14,1
,,Kirkpatrick,,,,LaHood,,,,Sanford,,,,Wittman,,,,Knight,,,,Lance,,,,,Valadao,,,Wagner,,,,Walorski,,,,McCollum,,,,"Maloney, Carolyn B.",,,,Tenney,,,,Tipton,,,,Lewis (MN),,,,Levin,,,"Representative Kelly, Mike",Pennsylvania,42,House: 2011-Present,16,Republican,11,4
,,Kline,,,,LaMalfa,,,,Scalise,,,,Womack,,,,Kuster,,,,Langevin,,,,,Wagner,,,Walberg,,,,"Walters, Mimi",,,,McEachin,,,,"Maloney, Sean",,,,Thompson (PA),,,,Trott,,,,"Lieu, Ted",,,,Lewis (MN),,,"Representative Kelly, Robin L.",Illinois,17,House: 2013-Present,2,Democratic,14,1
,,Knight,,,,Lamborn,,,,Schiff,,,,Woodall,,,,Labrador,,,,Larsen (WA),,,,,Walberg,,,Walden,,,,Weber (TX),,,,McGovern,,,,Marchant,,,,Thornberry,,,,Turner,,,,Lipinski,,,,"Lieu, Ted",,,"Representative Kelly, Trent",Mississippi,28,House: 2015-Present,1,Republican,0,0
,,Kuster,,,,Lance,,,,Schweikert,,,,Yoder,,,,LaHood,,,,Larson (CT),,,,,Walden,,,Walker,,,,Webster (FL),,,,McHenry,,,,Marino,,,,Tipton,,,,Upton,,,,LoBiondo,,,,Lipinski,,,"Representative Kennedy, Joseph P., III",Massachusetts,25,House: 2013-Present,4,Democratic,7,8
,,Labrador,,,,Langevin,,,,"Scott, Austin",,,,Yoho,,,,LaMalfa,,,,Latta,,,,,Walker,,,Walorski,,,,Wenstrup,,,,McKinley,,,,Marshall,,,,Trott,,,,Valadao,,,,Loebsack,,,,LoBiondo,,,"Representative Khanna, Ro",California,6,House: 2017-Present,17,Democratic,14,1
,,LaHood,,,,Larsen (WA),,,,Sensenbrenner,,,,Young (AK),,,,Lamborn,,,,Lawrence,,,,,Walorski,,,"Walters, Mimi",,,,Westerman,,,,McMorris Rodgers,,,,Massie,,,,Turner,,,,Wagner,,,,Lofgren,,,,Lofgren,,,"Representative Kildee, Daniel T.",Michigan,26,House: 2013-Present,5,Democratic,0,0
,,LaMalfa,,,,Larson (CT),,,,Sessions,,,,Young (IA),,,,Lance,,,,Lawson (FL),,,,,"Walters, Mimi",,,Weber (TX),,,,Williams,,,,McNerney,,,,Mast,,,,Upton,,,,Walberg,,,,Long,,,,Long,,,"Representative Kilmer, Derek",Washington,53,House: 2013-Present,6,Democratic,9,1
,,Lamborn,,,,Lawrence,,,,Shimkus,,,,Young (IN),,,,Langevin,,,,Lee,,,,,Weber (TX),,,Webster (FL),,,,Wilson (SC),,,,Meadows,,,,Matsui,,,,Valadao,,,,Walden,,,,Loudermilk,,,,Loudermilk,,,"Representative Kim, Andy",New Jersey,34,House: 2019-Present,3,Democratic,0,0
,,Lance,,,,Lee,,,,Shuster,,,,Zeldin,,,,Larsen (WA),,,,Lesko,,,,,Webster (FL),,,Wenstrup,,,,Wittman,,,,Meng,,,,McCarthy,,,,Wagner,,,,Walker,,,,Love,,,,Love,,,"Representative Kind, Ron",Wisconsin,55,House: 1997-Present,3,Democratic,13,1
,,Langevin,,,,Levin,,,,Simpson,,,,Zinke,,,,Larson (CT),,,,Levin,,,,,Wenstrup,,,Westerman,,,,Womack,,,,Messer,,,,McCaul,,,,Walberg,,,,Walorski,,,,Lowenthal,,,,Lowenthal,,,"Representative King, Peter T.",New York,36,House: 1993-Present,2,Republican,9,1
,,Larsen (WA),,,,Lewis,,,,Sinema,,,,,,,,Lawrence,,,,Lewis (GA),,,,,Westerman,,,Williams,,,,Woodall,,,,Mitchell,,,,McClintock,,,,Walden,,,,"Walters, Mimi",,,,Lowey,,,,Lowey,,,"Representative King, Steve",Iowa,19,House: 2003-Present,4,Republican,0,0
,,Larson (CT),,,,"Lieu, Ted",,,,Smith (MO),,,,,,,,Lee,,,,Lewis (MN),,,,,Williams,,,Wilson (SC),,,,Yoder,,,,Moolenaar,,,,McGovern,,,,Walker,,,,Weber (TX),,,,Lucas,,,,Lucas,,,"Representative Kinzinger, Adam",Illinois,17,House: 2011-Present,16,Republican,0,0
,,Lawrence,,,,Lipinski,,,,Smith (NE),,,,,,,,Levin,,,,"Lieu, Ted",,,,,Wilson (SC),,,Wittman,,,,Yoho,,,,Mooney (WV),,,,McHenry,,,,Walorski,,,,Webster (FL),,,,Luetkemeyer,,,,Luetkemeyer,,,"Representative Kirkpatrick, Ann",Arizona,4,"House: 2009-2011, 2013-2017, 2019-Present",2,Democratic,8,1
,,Lee,,,,LoBiondo,,,,Smith (NJ),,,,,,,,Lewis,,,,Lipinski,,,,,Wittman,,,Womack,,,,Young (AK),,,,Moore,,,,McKinley,,,,"Walters, Mimi",,,,Wenstrup,,,,"Lujan Grisham, M.",,,,"Luján, Ben Ray",,,"Representative Krishnamoorthi, Raja",Illinois,17,House: 2017-Present,8,Democratic,12,1
,,Levin,,,,Loebsack,,,,Smith (TX),,,,,,,,"Lieu, Ted",,,,LoBiondo,,,,,Womack,,,Woodall,,,,Young (IA),,,,Mullin,,,,McMorris Rodgers,,,,Weber (TX),,,,Westerman,,,,"Luján, Ben Ray",,,,Lynch,,,"Representative Kuster, Ann M.",New Hampshire,33,House: 2013-Present,2,Democratic,6,4
,,Lewis,,,,Lofgren,,,,Stefanik,,,,,,,,Lipinski,,,,Loebsack,,,,,Woodall,,,Yoder,,,,Zeldin,,,,Nadler,,,,McNerney,,,,Webster (FL),,,,Williams,,,,Lynch,,,,MacArthur,,,"Representative Kustoff, David",Tennessee,47,House: 2017-Present,8,Republican,8,7
,,"Lieu, Ted",,,,Long,,,,Stewart,,,,,,,,LoBiondo,,,,Lofgren,,,,,Yoder,,,Yoho,,,,,,,,Newhouse,,,,McSally,,,,Wenstrup,,,,Wilson (SC),,,,MacArthur,,,,"Maloney, Carolyn B.",,,"Representative LaHood, Darin",Illinois,17,House: 2015-Present,18,Republican,5,3
,,Lipinski,,,,Loudermilk,,,,Stivers,,,,,,,,Loebsack,,,,Long,,,,,Yoho,,,Young (AK),,,,,,,,Noem,,,,Meadows,,,,Westerman,,,,Wittman,,,,"Maloney, Carolyn B.",,,,"Maloney, Sean",,,"Representative LaMalfa, Doug",California,6,House: 2013-Present,1,Republican,9,5
,,LoBiondo,,,,Love,,,,Stutzman,,,,,,,,Lofgren,,,,Love,,,,,Young (AK),,,Young (IA),,,,,,,,Nolan,,,,Meeks,,,,Williams,,,,Womack,,,,"Maloney, Sean",,,,Marchant,,,"Representative Lamb, Conor",Pennsylvania,42,House: 2018-Present,17,Democratic,7,1
,,Loebsack,,,,Lowenthal,,,,Thompson (PA),,,,,,,,Long,,,,Lowenthal,,,,,Young (IA),,,Zeldin,,,,,,,,Norcross,,,,Meng,,,,Wilson (SC),,,,Woodall,,,,Marino,,,,Marino,,,"Representative Lamborn, Doug",Colorado,8,House: 2007-Present,5,Republican,13,2
,,Lofgren,,,,Lowey,,,,Thornberry,,,,,,,,Loudermilk,,,,Lowey,,,,,Zeldin,,,,,,,,,,,Nunes,,,,Messer,,,,Wittman,,,,Yoder,,,,Marshall,,,,Marshall,,,"Representative Langevin, James R.",Rhode Island,44,House: 2001-Present,2,Democratic,6,4
,,Long,,,,Lucas,,,,Tiberi,,,,,,,,Love,,,,Lucas,,,,,,,,,,,,,,,,O'Halleran,,,,Mitchell,,,,Womack,,,,Yoho,,,,Mast,,,,Mast,,,"Representative Larsen, Rick",Washington,53,House: 2001-Present,2,Democratic,11,1
,,Loudermilk,,,,Luetkemeyer,,,,Tipton,,,,,,,,Lowenthal,,,,Luetkemeyer,,,,,,,,,,,,,,,,O'Rourke,,,,Moolenaar,,,,Woodall,,,,Young (AK),,,,Matsui,,,,Matsui,,,"Representative Larson, John B.",Connecticut,9,House: 1999-Present,1,Democratic,13,1
,,Love,,,,Lujan Grisham (NM),,,,Trott,,,,,,,,Lowey,,,,"Lujan Grisham, M.",,,,,,,,,,,,,,,,Olson,,,,Moulton,,,,Yoder,,,,Young (IA),,,,McCarthy,,,,McCarthy,,,"Representative Latta, Robert E.",Ohio,39,House: 2007-Present,5,Republican,10,5
,,Lowenthal,,,,"Luján, Ben Ray (NM)",,,,Turner,,,,,,,,Lucas,,,,"Luján, Ben Ray",,,,,,,,,,,,,,,,Palazzo,,,,Mullin,,,,Yoho,,,,Zeldin,,,,McCaul,,,,McCaul,,,"Representative Lawrence, Brenda L.",Michigan,26,House: 2015-Present,14,Democratic,8,5
,,Lowey,,,,Lummis,,,,Upton,,,,,,,,Luetkemeyer,,,,Lynch,,,,,,,,,,,,,,,,Pallone,,,,Murphy (FL),,,,Young (AK),,,,,,,,McCollum,,,,McClintock,,,"Representative Lawson, Al, Jr.",Florida,12,House: 2017-Present,5,Democratic,6,4
,,Lucas,,,,Lynch,,,,Valadao,,,,,,,,Lujan Grisham (NM),,,,MacArthur,,,,,,,,,,,,,,,,Palmer,,,,Nadler,,,,Young (IA),,,,,,,,McEachin,,,,McCollum,,,"Representative Lee, Barbara",California,6,House: 1997-Present,13,Democratic,8,6
,,Luetkemeyer,,,,MacArthur,,,,Wagner,,,,,,,,"Luján, Ben Ray (NM)",,,,"Maloney, Carolyn B.",,,,,,,,,,,,,,,,Panetta,,,,Neal,,,,Zeldin,,,,,,,,McGovern,,,,McEachin,,,"Representative Lee, Susie",Nevada,32,House: 2019-Present,3,Democratic,14,1
,,Lujan Grisham (NM),,,,"Maloney, Sean",,,,Walberg,,,,,,,,Lummis,,,,"Maloney, Sean",,,,,,,,,,,,,,,,Pascrell,,,,Newhouse,,,,,,,,,,,,McHenry,,,,McGovern,,,"Representative Lesko, Debbie",Arizona,4,House: 2018-Present,8,Republican,8,5
,,"Luján, Ben Ray (NM)",,,,Marchant,,,,Walden,,,,,,,,Lynch,,,,Marino,,,,,,,,,,,,,,,,Paulsen,,,,Noem,,,,,,,,,,,,McKinley,,,,McHenry,,,"Representative Levin, Andy",Michigan,26,House: 2019-Present,9,Democratic,14,1
,,Lummis,,,,Marino,,,,Walker,,,,,,,,Marino,,,,Marshall,,,,,,,,,,,,,,,,Payne,,,,Norman,,,,,,,,,,,,McMorris Rodgers,,,,McKinley,,,"Representative Levin, Mike",California,6,House: 2019-Present,49,Democratic,0,0
,,Lynch,,,,Matsui,,,,Walorski,,,,,,,,Massie,,,,Mast,,,,,,,,,,,,,,,,Pearce,,,,Nunes,,,,,,,,,,,,McNerney,,,,McMorris Rodgers,,,"Representative Lewis, John",Georgia,13,House: 1987-Present,5,Democratic,10,5
,,MacArthur,,,,McCarthy,,,,"Walters, Mimi",,,,,,,,Matsui,,,,Matsui,,,,,,,,,,,,,,,,Pelosi,,,,O'Halleran,,,,,,,,,,,,McSally,,,,McNerney,,,"Representative Lieu, Ted",California,6,House: 2015-Present,33,Democratic,14,1
,,"Maloney, Carolyn",,,,McCaul,,,,Walz,,,,,,,,McCarthy,,,,McCarthy,,,,,,,,,,,,,,,,Perlmutter,,,,Olson,,,,,,,,,,,,Meadows,,,,McSally,,,"Representative Lipinski, Daniel",Illinois,17,House: 2005-Present,3,Democratic,3,6
,,Marchant,,,,McClintock,,,,Weber (TX),,,,,,,,McCaul,,,,McCaul,,,,,,,,,,,,,,,,Peters,,,,Palazzo,,,,,,,,,,,,Meeks,,,,Meadows,,,"Representative Loebsack, David",Iowa,19,House: 2007-Present,2,Democratic,9,6
,,Marino,,,,McCollum,,,,Webster (FL),,,,,,,,McClintock,,,,McCollum,,,,,,,,,,,,,,,,Peterson,,,,Pallone,,,,,,,,,,,,Meng,,,,Meeks,,,"Representative Lofgren, Zoe",California,6,House: 1995-Present,19,Democratic,12,1
,,Matsui,,,,McDermott,,,,Wenstrup,,,,,,,,McCollum,,,,McEachin,,,,,,,,,,,,,,,,Pingree,,,,Palmer,,,,,,,,,,,,Messer,,,,Meng,,,"Representative Long, Billy",Missouri,29,House: 2011-Present,7,Republican,13,2
,,McCarthy,,,,McGovern,,,,Westerman,,,,,,,,McDermott,,,,McGovern,,,,,,,,,,,,,,,,Pocan,,,,Panetta,,,,,,,,,,,,Mitchell,,,,Mitchell,,,"Representative Loudermilk, Barry",Georgia,13,House: 2015-Present,11,Republican,14,1
,,McCaul,,,,McHenry,,,,Westmoreland,,,,,,,,McGovern,,,,McHenry,,,,,,,,,,,,,,,,Poliquin,,,,Pascrell,,,,,,,,,,,,Moolenaar,,,,Moolenaar,,,"Representative Lowenthal, Alan S.",California,6,House: 2013-Present,47,Democratic,9,1
,,McClintock,,,,McKinley,,,,Williams,,,,,,,,McHenry,,,,McKinley,,,,,,,,,,,,,,,,Raskin,,,,Paulsen,,,,,,,,,,,,Mooney (WV),,,,Mooney (WV),,,"Representative Lowey, Nita M.",New York,36,House: 1989-Present,17,Democratic,0,0
,,McCollum,,,,McMorris Rodgers,,,,Wilson (SC),,,,,,,,McKinley,,,,McMorris Rodgers,,,,,,,,,,,,,,,,Ratcliffe,,,,Pearce,,,,,,,,,,,,Moore,,,,Moore,,,"Representative Lucas, Frank D.",Oklahoma,40,House: 1993-Present,3,Republican,13,1
,,McDermott,,,,McNerney,,,,Womack,,,,,,,,McMorris Rodgers,,,,McNerney,,,,,,,,,,,,,,,,Reed,,,,Pelosi,,,,,,,,,,,,Moulton,,,,Moulton,,,"Representative Luetkemeyer, Blaine",Missouri,29,House: 2009-Present,3,Republican,9,6
,,McGovern,,,,McSally,,,,Woodall,,,,,,,,McNerney,,,,McSally,,,,,,,,,,,,,,,,Reichert,,,,Perlmutter,,,,,,,,,,,,Mullin,,,,Mullin,,,"Representative Lujan, Ben Ray",New Mexico,35,House: 2009-Present,3,Democratic,7,6
,,McHenry,,,,Meadows,,,,Yoder,,,,,,,,McSally,,,,Meadows,,,,,,,,,,,,,,,,Rice (SC),,,,Perry,,,,,,,,,,,,Nadler,,,,Murphy (FL),,,"Representative Luria, Elaine G.",Virginia,51,House: 2019-Present,2,Democratic,14,1
,,McKinley,,,,Meehan,,,,Yoho,,,,,,,,Meadows,,,,Meeks,,,,,,,,,,,,,,,,Richmond,,,,Peters,,,,,,,,,,,,Napolitano,,,,Nadler,,,"Representative Lynch, Stephen F.",Massachusetts,25,House: 2001-Present,8,Democratic,14,1
,,McMorris Rodgers,,,,Meeks,,,,Young (AK),,,,,,,,Meehan,,,,Messer,,,,,,,,,,,,,,,,Roby,,,,Peterson,,,,,,,,,,,,Neal,,,,Napolitano,,,"Representative Malinowski, Tom",New Jersey,34,House: 2019-Present,7,Democratic,6,5
,,McNerney,,,,Meng,,,,Young (IA),,,,,,,,Meeks,,,,Mitchell,,,,,,,,,,,,,,,,Roe (TN),,,,Pingree,,,,,,,,,,,,Newhouse,,,,Neal,,,"Representative Maloney, Carolyn B.",New York,36,House: 1993-Present,12,Democratic,9,6
,,McSally,,,,Messer,,,,Young (IN),,,,,,,,Messer,,,,Moolenaar,,,,,,,,,,,,,,,,Rogers (AL),,,,Pittenger,,,,,,,,,,,,Noem,,,,Newhouse,,,"Representative Maloney, Sean Patrick",New York,36,House: 2013-Present,18,Democratic,8,7
,,Meadows,,,,Mica,,,,Zeldin,,,,,,,,Mica,,,,Mooney (WV),,,,,,,,,,,,,,,,Rogers (KY),,,,Poe (TX),,,,,,,,,,,,Nolan,,,,Noem,,,"Representative Marchant, Kenny",Texas,48,House: 2005-Present,24,Republican,14,1
,,Meehan,,,,Miller (FL),,,,Zinke,,,,,,,,Miller (FL),,,,Moore,,,,,,,,,,,,,,,,Rohrabacher,,,,Poliquin,,,,,,,,,,,,Norcross,,,,Nolan,,,"Representative Marshall, Roger W.",Kansas,20,House: 2017-Present,1,Republican,13,1
,,Meeks,,,,Miller (MI),,,,,,,,,,,,Miller (MI),,,,Moulton,,,,,,,,,,,,,,,,Rokita,,,,Posey,,,,,,,,,,,,Norman,,,,Norcross,,,"Representative Massie, Thomas",Kentucky,21,House: 2012-Present,4,Republican,8,4
,,Meng,,,,Moolenaar,,,,,,,,,,,,Moolenaar,,,,Mullin,,,,,,,,,,,,,,,,"Rooney, Francis",,,,Price (NC),,,,,,,,,,,,Nunes,,,,Norman,,,"Representative Mast, Brian J.",Florida,12,House: 2017-Present,18,Republican,0,0
,,Messer,,,,Moore,,,,,,,,,,,,Mooney (WV),,,,Murphy (FL),,,,,,,,,,,,,,,,"Rooney, Thomas J.",,,,Ratcliffe,,,,,,,,,,,,O'Halleran,,,,Nunes,,,"Representative Matsui, Doris O.",California,6,House: 2005-Present,6,Democratic,0,0
,,Mica,,,,Moulton,,,,,,,,,,,,Moore,,,,Nadler,,,,,,,,,,,,,,,,Ros-Lehtinen,,,,Reed,,,,,,,,,,,,O'Rourke,,,,O'Halleran,,,"Representative McAdams, Ben",Utah,49,House: 2019-Present,4,Democratic,6,4
,,Miller (FL),,,,Mullin,,,,,,,,,,,,Moulton,,,,Napolitano,,,,,,,,,,,,,,,,Rosen,,,,Reichert,,,,,,,,,,,,Olson,,,,Palazzo,,,"Representative McBath, Lucy",Georgia,13,House: 2019-Present,6,Democratic,9,6
,,Miller (MI),,,,Mulvaney,,,,,,,,,,,,Mullin,,,,Neal,,,,,,,,,,,,,,,,Roskam,,,,Renacci,,,,,,,,,,,,Palazzo,,,,Pallone,,,"Representative McCarthy, Kevin",California,6,House: 2007-Present,23,Republican,14,1
,,Moolenaar,,,,Murphy (FL),,,,,,,,,,,,Mulvaney,,,,Newhouse,,,,,,,,,,,,,,,,Rothfus,,,,Rice (NY),,,,,,,,,,,,Pallone,,,,Palmer,,,"Representative McCaul, Michael T.",Texas,48,House: 2005-Present,10,Republican,7,1
,,Moore,,,,Murphy (PA),,,,,,,,,,,,Murphy (FL),,,,Nolan,,,,,,,,,,,,,,,,Rouzer,,,,Rice (SC),,,,,,,,,,,,Palmer,,,,Panetta,,,"Representative McClintock, Tom",California,6,House: 2009-Present,4,Republican,8,5
,,Moulton,,,,Nadler,,,,,,,,,,,,Murphy (PA),,,,Norcross,,,,,,,,,,,,,,,,Roybal-Allard,,,,Roby,,,,,,,,,,,,Panetta,,,,Pascrell,,,"Representative McCollum, Betty",Minnesota,27,House: 2001-Present,4,Democratic,0,0
,,Mullin,,,,Napolitano,,,,,,,,,,,,Nadler,,,,Norman,,,,,,,,,,,,,,,,Royce (CA),,,,Roe (TN),,,,,,,,,,,,Pascrell,,,,Paulsen,,,"Representative McEachin, A. Donald",Virginia,51,House: 2017-Present,4,Democratic,0,0
,,Mulvaney,,,,Neal,,,,,,,,,,,,Napolitano,,,,Nunes,,,,,,,,,,,,,,,,Ruiz,,,,Rogers (AL),,,,,,,,,,,,Paulsen,,,,Payne,,,"Representative McGovern, James P.",Massachusetts,25,House: 1997-Present,2,Democratic,7,7
,,Murphy (FL),,,,Neugebauer,,,,,,,,,,,,Neal,,,,O'Halleran,,,,,,,,,,,,,,,,Ruppersberger,,,,Rogers (KY),,,,,,,,,,,,Payne,,,,Pelosi,,,"Representative McHenry, Patrick T.",North Carolina,37,House: 2005-Present,10,Republican,7,8
,,Murphy (PA),,,,Newhouse,,,,,,,,,,,,Neugebauer,,,,Olson,,,,,,,,,,,,,,,,Rush,,,,Rohrabacher,,,,,,,,,,,,Pearce,,,,Perlmutter,,,"Representative McKinley, David B.",West Virginia,54,House: 2011-Present,1,Republican,14,1
,,Nadler,,,,Noem,,,,,,,,,,,,Newhouse,,,,Palazzo,,,,,,,,,,,,,,,,Russell,,,,Rokita,,,,,,,,,,,,Pelosi,,,,Perry,,,"Representative McMorris Rodgers, Cathy",Washington,53,House: 2005-Present,5,Republican,2,8
,,Napolitano,,,,Nolan,,,,,,,,,,,,Noem,,,,Pallone,,,,,,,,,,,,,,,,Rutherford,,,,"Rooney, Francis",,,,,,,,,,,,Perlmutter,,,,Peters,,,"Representative McNerney, Jerry",California,6,House: 2007-Present,9,Democratic,13,2
,,Neal,,,,Norcross,,,,,,,,,,,,Nolan,,,,Palmer,,,,,,,,,,,,,,,,Ryan (OH),,,,Ros-Lehtinen,,,,,,,,,,,,Perry,,,,Peterson,,,"Representative Meadows, Mark",North Carolina,37,House: 2013-Present,11,Republican,6,4
